"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
2908102,-2.7196597458934,0.201072476106649,-0.0278654299205933,0.289837004687206,4.2852263084485,0.610225202598351,1.12572157846168,0.78460899176081,-21.6125862931082,-0.738695633279357,0.000396803822374768,0.000110030353975155,0.000281545939402174,9.25791823015499e-05,NA,NA,NA,NA
2908103,-5.61446382323246,0.445363863899878,0.566200283522024,0.890586837742479,9.5360144174121,1.1234047560143,1.90813689570945,1.08127477530454,-92.0653693110295,0.362421172475366,0.000430525778246658,3.56346133833528e-05,0.000327053907692308,2.89427446589225e-05,NA,NA,NA,NA
2909154,-0.439192881678733,0.391135301968774,0.394965617701572,0.684398987864118,2.29029454435518,0.485387544381212,0.677523951918491,0.971452321824073,-5.4160378408701,0.409593125692875,0.000452795793946387,0.000137355049072359,0.000380995215529412,9.00097614834127e-05,NA,NA,NA,NA
2909357,-375.697477352557,-405.079379602803,0.688852948698891,0.331168372598513,227.18772738619,48.1484328648122,288.284179835565,413.349720040746,-149835.598440911,-180092.869988694,0.000695991601837852,0.000763035092548536,0.000542519068,0.000756013826720264,NA,NA,NA,NA
2910560,-2.59196448347716,0.475171582343654,0.864540909099289,0.867342316349441,3.83714366007824,1.27774786006999,3.63678238344261,1.50920363608369,-10.5037040865001,0.501253309429274,0.000498485081900937,0.000103794257956273,0.000306257540825956,6.67570327796214e-05,NA,NA,NA,NA
2911680,-4.0368561931476,-0.0974814619386388,0.624491942920557,0.695178713605092,3.63681268011382,1.73609681682117,5.28839119086299,1.82906227277654,-23.0910496876616,-1.0203831347247,0.000381414415068259,0.000110455185212587,0.000302474232795242,5.95638467071972e-05,NA,NA,NA,NA
2969087,-3.66536055846709,0.147008757825934,0.85601124270727,0.847344870893458,1.84654820155233,0.517157486620715,5.62610388598978,1.5903282753066,-5.44427569515631,0.518034588116392,0.00127963376064134,0.000349950460877197,0.00113272089179104,0.000279985457980072,NA,NA,NA,NA
2969230,-5.67594286579438,-0.100822453014509,0.818528868174831,0.811079000047958,2.23754233112351,0.562712556868128,7.55772600482381,1.99242058670565,-16.1703902907936,0.256591267016257,0.001726368206005,0.00035921724266876,0.00160423052616838,0.000323036417454231,7.05699679301064,1.46839759947492,6.55772600482381,1.32049869435185
2969231,-5.60303380949584,-0.44148587712433,0.839608015245914,0.854347786732487,2.90492181785748,0.953881131824223,7.32025337849855,2.43336667211058,-19.6222291236445,-0.106102741047301,0.00123913490263667,0.000286977944289479,0.00109356816792856,0.000254257825068512,7.16155314728997,1.65858277073463,6.32025337849855,1.46947755524275
2969232,-3.60042507535266,0.31851433404153,0.896257376223038,0.88596944203098,2.1016361678761,0.543923056626087,5.46537188771246,1.49336960433213,-6.46261773429209,0.59698399595945,0.0015692069939673,0.00036466642838071,0.00138494712128223,0.000293659868012858,5.05946594580158,1.17576418092854,4.46537188771246,0.946823527789224
2998450,-7.04434877984532,0.385412179839596,0.725300170023335,0.741756504859324,7.77205874792896,1.24710696886261,7.24291648229259,1.80685228745227,-56.067523646097,0.225993571314285,0.00127150012240013,0.00014807923990742,0.00069265891862069,0.000111502067330112,NA,NA,NA,NA
3179800,0.197521796088092,0.124857569224195,0.737637997766402,0.774548968074171,0.689973371500622,0.313052423829717,0.347510517286901,1.49605668994043,0.481868201892237,0.340395817113046,0.000149545308828376,0.000168730802262409,5.31062141114931e-05,9.78674437373948e-05,NA,NA,NA,NA
3180110,NA,-191.401135348689,NA,-0.0596882013329763,0,24.2527202917074,0,191.987918317929,-1.69384041845851,-62376.2647804606,5.16206399154607e-07,7.85508004890389e-05,4.09330114991613e-07,7.81771065670868e-05,1.26110046695485,191.900858529914,1,190.987918317929
3265030,-38.8205020894064,-0.962762929057905,0.518204846853912,0.705568449270287,40.4821693044504,3.50917470838533,6.04677858726639,1.08405166834773,-2983.82500808583,-6.83773077594623,0.00132503260330343,6.78988311085155e-05,0.000913330768695652,5.09267109936056e-05,NA,NA,NA,NA
3265070,-19.6349852062401,0.379386618860902,0.768944753772612,0.875816347949669,21.1710843246213,1.95135189458952,5.11478945248893,0.894616162758912,-761.812774588631,0.217613444077121,0.00119879437218476,3.83925011835673e-05,0.000829070071578948,3.04582181433218e-05,NA,NA,NA,NA
3275050,0.241474089434406,0.259673420935789,0.276856410818751,0.420065101021782,0.960395176475817,0.49032609829289,0.994398034341393,0.793914114585727,-0.823040961624563,0.138143444877445,6.56254062805538e-05,4.51223059832743e-05,2.94177145780051e-05,1.76223982428217e-05,NA,NA,NA,NA
3469100,0.712066432269959,-0.0328704852631279,0.738412315880117,0.755319443351533,2.66761083638745,1.07786002152936,1.77821370354601,0.50132195929314,0.311875488351417,-7.12275595402948,0.000145702087960589,0.00050059206812559,0.000111234171428571,0.000481521718241637,NA,NA,NA,NA
